IntID#,REF,Journal,Group,Class,Order,Genus,species,Light,Light2,Temp,Salinity,Nutrient,Container,Treat1,Treat2,Media,Data,sumSAFA,sumMUFA,sumPUFA,c18.2w6,c18.3w6,c18.3w3,c18.4w3,c18.5w3,c20.4w6,c20.5w3,c22.6w3
258,Piepho2012,Jphyc,Ochrophyta,Coscinodiscophyceae,Thalassiosirales,Cyclotella,meneghiniana,30,24,20,0,Replete,1L-Flask,P+,50,WC,prop,6.686602357,66.22037263,27.09302501,0.642332973,0.682082622,0.615662993,0.688749921,35,0,0,0.884563812
259,Piepho2012,Jphyc,Ochrophyta,Coscinodiscophyceae,Thalassiosirales,Cyclotella,meneghiniana,60,24,20,0,Replete,1L-Flask,P+,50,WC,prop,7.041918806,69.22092325,23.73715795,0.461228155,0.563589843,0.497173612,0.158096584,36,0,0,0.827877897
260,Piepho2012,Jphyc,Ochrophyta,Coscinodiscophyceae,Thalassiosirales,Cyclotella,meneghiniana,140,24,20,0,Replete,1L-Flask,P+,50,WC,prop,7.229686977,71.77913517,20.99117785,0.375191506,0.516632652,0.444114373,0.113277957,37,0,0,0.723605952
261,Piepho2012,Jphyc,Ochrophyta,Coscinodiscophyceae,Thalassiosirales,Cyclotella,meneghiniana,230,24,20,0,Replete,1L-Flask,P+,50,WC,prop,7.592152554,71.14062972,21.26721772,0.610951013,0.4847848,0.400933479,0.506624012,38,0,0,0.719589776
262,Piepho2012,Jphyc,Ochrophyta,Coscinodiscophyceae,Thalassiosirales,Cyclotella,meneghiniana,490,24,20,0,Replete,1L-Flask,P+,50,WC,prop,7.855659681,69.65781285,22.48652747,0.784606209,0.555728784,0.442710399,0.633782541,39,0,0,0.73373053
263,Piepho2012,Jphyc,Ochrophyta,Coscinodiscophyceae,Thalassiosirales,Cyclotella,meneghiniana,198,24,10,0,Limited,1L-Flask,P-,1,WC,prop,30.62574519,49.46022504,17.86715213,0.469607993,0.346912901,0,5.205768343,0,0.097006546,0.5332655,3.50271604
264,Piepho2012,Jphyc,Ochrophyta,Coscinodiscophyceae,Thalassiosirales,Cyclotella,meneghiniana,198,24,10,0,Replete,1L-Flask,P+,50,WC,prop,28.51766404,40.74026386,30.7420721,0.67267749,0.547250767,0,4.824552615,0,0,0.233843332,5.559399717
265,Piepho2012,Jphyc,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonas,ovata,198,24,10,0,Limited,1L-Flask,P-,5,WC,prop,17.39219676,14.28403305,68.32377019,4.770835926,0.962628775,17.74329914,21.91461624,0,0,0,4.784347846
266,Piepho2012,Jphyc,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonas,ovata,198,24,10,0,Replete,1L-Flask,P+,50,WC,prop,17.94015511,11.77018583,63.97782043,3.032816183,0.856182854,13.20540066,29.13890841,0,0.30910279,0,4.149544258
267,Piepho2012,Jphyc,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmus,quadricauda,198,24,10,0,Limited,1L-Flask,P-,1,WC,prop,22.04642222,36.14762166,41.80595612,6.679127461,0.409799836,19.84580247,1.721625018,0,0,0,0
268,Piepho2012,Jphyc,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmus,quadricauda,198,24,10,0,Replete,1L-Flask,P+,50,WC,prop,22.21373991,18.40072458,59.38553551,7.560213859,1.260903945,29.43640366,3.216537736,0,0,0,0
269,Piepho2012,Jphyc,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonas,globosa,198,24,10,0,Limited,1L-Flask,P-,1,WC,prop,19.98051828,36.91020894,43.10927278,2.882271813,0.085265183,20.94497417,0.302568813,0,0.094156348,0,0
270,Piepho2012,Jphyc,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonas,globosa,198,24,10,0,Replete,1L-Flask,P+,50,WC,prop,16.01589192,20.6075679,63.37654018,2.422743198,0,34.38517271,0.808261228,0,0,0,0
271,Piepho2012,Jphyc,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmus,quadricauda,198,24,25,0,Limited,1L-Flask,P-,1,WC,prop,31.30252701,33.5738213,35.1236517,10.40217988,1.25065603,12.29232653,3.606091036,0,0,0,0
272,Piepho2012,Jphyc,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmus,quadricauda,198,24,25,0,Replete,1L-Flask,P+,50,WC,prop,28.93506044,18.04092047,53.02401909,11.43278122,2.347882695,22.96914517,4.224832684,0,0,0,0
273,Piepho2012,Jphyc,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonas,ovata,198,24,25,0,Limited,1L-Flask,P-,5,WC,prop,12.56285938,21.34120963,66.09593099,5.44537498,1.150047899,19.7260173,19.50328309,0,0.750626505,0,2.708680807
274,Piepho2012,Jphyc,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonas,ovata,198,24,25,0,Replete,1L-Flask,P+,50,WC,prop,13.92236135,15.57377201,70.50386665,5.829603047,1.42614409,18.05789856,28.2968889,0,0,0,3.311825107
275,Piepho2012,Jphyc,Ochrophyta,Coscinodiscophyceae,Thalassiosirales,Cyclotella,meneghiniana,198,24,25,0,Limited,1L-Flask,P-,1,WC,prop,33.12847998,54.8542239,12.01729612,0.410561112,0.304346442,0.495396239,0.278007105,0,0.268613899,0.630419836,3.050595196
276,Piepho2012,Jphyc,Ochrophyta,Coscinodiscophyceae,Thalassiosirales,Cyclotella,meneghiniana,198,24,25,0,Replete,1L-Flask,P+,50,WC,prop,36.27302191,35.17837804,28.54860005,1.079819696,0.781767819,1.400036532,0,0,0,0,4.973644272
277,Piepho2012,Jphyc,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonas,globosa,198,24,25,0,Limited,1L-Flask,P-,1,WC,prop,19.86545376,36.60988718,43.52465906,3.696971793,0,20.78264632,0.379885338,0,0,0,0
278,Piepho2012,Jphyc,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonas,globosa,198,24,25,0,Replete,1L-Flask,P+,50,WC,prop,17.37622637,21.64983219,60.97394144,4.18008524,0,31.18354157,0.202985712,0,0,0,0
279,Bi2014,Jphyc,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,sp,100,16,18,18,Limited,1L-Flask,N:P.10,GrRt.0.2,mod-Provasoli,prop,25,14,61,6,1,22,15,0,0,10,5
280,Bi2014,Jphyc,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,sp,100,16,18,18,Limited,1L-Flask,N:P.10,GrRt.0.4,mod-Provasoli,prop,20,12,69,4,1,22,21,0,0,13,6
281,Bi2014,Jphyc,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,sp,100,16,18,18,Limited,1L-Flask,N:P.10,GrRt.0.6,mod-Provasoli,prop,20,13,67,4,1,18,24,0,0,12,7
282,Bi2014,Jphyc,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,sp,100,16,18,18,Limited,1L-Flask,N:P.10,GrRt.0.8,mod-Provasoli,prop,23,12,65,4,0,19,23,0,0,11,7
283,Bi2014,Jphyc,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,sp,100,16,18,18,Limited,1L-Flask,N:P.14,GrRt.0.2,mod-Provasoli,prop,21,15,64,9,1,22,14,0,1,12,5
284,Bi2014,Jphyc,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,sp,100,16,18,18,Limited,1L-Flask,N:P.14,GrRt.0.4,mod-Provasoli,prop,24,11,64,7,1,24,13,0,1,11,7
285,Bi2014,Jphyc,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,sp,100,16,18,18,Limited,1L-Flask,N:P.14,GrRt.0.6,mod-Provasoli,prop,25,12,56,3,0,16,19,0,1,9,7
286,Bi2014,Jphyc,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,sp,100,16,18,18,Limited,1L-Flask,N:P.14,GrRt.0.8,mod-Provasoli,prop,23,13,64,3,0,18,23,0,0,11,7
287,Bi2014,Jphyc,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,sp,100,16,18,18,Limited,1L-Flask,N:P.24,GrRt.0.2,mod-Provasoli,prop,23,13,72,5,1,25,21,0,1,11,7
288,Bi2014,Jphyc,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,sp,100,16,18,18,Limited,1L-Flask,N:P.24,GrRt.0.4,mod-Provasoli,prop,21,13,73,3,1,23,25,0,0,12,8
289,Bi2014,Jphyc,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,sp,100,16,18,18,Limited,1L-Flask,N:P.24,GrRt.0.6,mod-Provasoli,prop,15,14,71,3,1,20,28,0,0,12,7
290,Bi2014,Jphyc,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,sp,100,16,18,18,Limited,1L-Flask,N:P.24,GrRt.0.8,mod-Provasoli,prop,26,15,60,4,0,19,18,0,0,11,6
291,Bi2014,Jphyc,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,sp,100,16,18,18,Limited,1L-Flask,N:P.35,GrRt.0.2,mod-Provasoli,prop,28,14,58,11,1,21,12,0,1,7,5
292,Bi2014,Jphyc,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,sp,100,16,18,18,Limited,1L-Flask,N:P.35,GrRt.0.4,mod-Provasoli,prop,25,11,64,6,1,23,15,0,1,11,7
293,Bi2014,Jphyc,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,sp,100,16,18,18,Limited,1L-Flask,N:P.35,GrRt.0.6,mod-Provasoli,prop,30,13,62,3,1,17,20,0,0,10,6
294,Bi2014,Jphyc,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,sp,100,16,18,18,Limited,1L-Flask,N:P.35,GrRt.0.8,mod-Provasoli,prop,25,13,61,3,0,17,22,0,0,10,6
295,Bi2014,Jphyc,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,sp,100,16,18,18,Limited,1L-Flask,N:P.63,GrRt.0.2,mod-Provasoli,prop,23,14,63,7,1,24,18,0,0,5,7
296,Bi2014,Jphyc,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,sp,100,16,18,18,Limited,1L-Flask,N:P.63,GrRt.0.4,mod-Provasoli,prop,22,14,77,3,1,22,23,0,0,11,7
297,Bi2014,Jphyc,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,sp,100,16,18,18,Limited,1L-Flask,N:P.63,GrRt.0.6,mod-Provasoli,prop,19,13,68,3,1,19,27,0,0,11,7
298,Bi2014,Jphyc,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,sp,100,16,18,18,Limited,1L-Flask,N:P.63,GrRt.0.8,mod-Provasoli,prop,24,12,64,4,0,19,22,0,0,10,6
299,Bi2014,Jphyc,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysis,galbana,100,16,18,18,Limited,1L-Flask,N:P.10,GrRt.0.2,mod-Provasoli,prop,47,30,23,7,0,4,5,0,0,0,6
300,Bi2014,Jphyc,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysis,galbana,100,16,18,18,Limited,1L-Flask,N:P.10,GrRt.0.4,mod-Provasoli,prop,40,24,36,8,0,9,7,0,0,1,9
301,Bi2014,Jphyc,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysis,galbana,100,16,18,18,Limited,1L-Flask,N:P.10,GrRt.0.6,mod-Provasoli,prop,39,21,40,6,0,13,7,0,0,1,10
302,Bi2014,Jphyc,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysis,galbana,100,16,18,18,Limited,1L-Flask,N:P.10,GrRt.0.8,mod-Provasoli,prop,49,19,32,5,0,6,7,0,0,1,10
303,Bi2014,Jphyc,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysis,galbana,100,16,18,18,Limited,1L-Flask,N:P.14,GrRt.0.2,mod-Provasoli,prop,43,26,31,6,0,5,10,0,0,0,7
304,Bi2014,Jphyc,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysis,galbana,100,16,18,18,Limited,1L-Flask,N:P.14,GrRt.0.4,mod-Provasoli,prop,40,24,36,6,0,8,10,0,0,1,8
305,Bi2014,Jphyc,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysis,galbana,100,16,18,18,Limited,1L-Flask,N:P.14,GrRt.0.6,mod-Provasoli,prop,46,19,35,5,0,7,10,0,0,1,9
306,Bi2014,Jphyc,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysis,galbana,100,16,18,18,Limited,1L-Flask,N:P.14,GrRt.0.8,mod-Provasoli,prop,43,25,32,5,0,6,7,0,0,1,10
307,Bi2014,Jphyc,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysis,galbana,100,16,18,18,Limited,1L-Flask,N:P.24,GrRt.0.2,mod-Provasoli,prop,44,27,28,6,0,6,8,0,0,0,7
308,Bi2014,Jphyc,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysis,galbana,100,16,18,18,Limited,1L-Flask,N:P.24,GrRt.0.4,mod-Provasoli,prop,39,20,42,6,0,12,8,0,0,1,11
309,Bi2014,Jphyc,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysis,galbana,100,16,18,18,Limited,1L-Flask,N:P.24,GrRt.0.6,mod-Provasoli,prop,39,21,40,6,1,11,9,0,0,1,11
310,Bi2014,Jphyc,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysis,galbana,100,16,18,18,Limited,1L-Flask,N:P.24,GrRt.0.8,mod-Provasoli,prop,48,18,34,6,0,7,8,0,0,1,10
311,Bi2014,Jphyc,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysis,galbana,100,16,18,18,Limited,1L-Flask,N:P.35,GrRt.0.2,mod-Provasoli,prop,42,23,35,5,0,6,13,0,0,0,9
312,Bi2014,Jphyc,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysis,galbana,100,16,18,18,Limited,1L-Flask,N:P.35,GrRt.0.4,mod-Provasoli,prop,41,23,36,5,0,7,13,0,0,0,8
313,Bi2014,Jphyc,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysis,galbana,100,16,18,18,Limited,1L-Flask,N:P.35,GrRt.0.6,mod-Provasoli,prop,37,25,38,6,0,6,11,0,0,1,11
314,Bi2014,Jphyc,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysis,galbana,100,16,18,18,Limited,1L-Flask,N:P.35,GrRt.0.8,mod-Provasoli,prop,52,18,30,6,0,5,7,0,0,1,8
315,Bi2014,Jphyc,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysis,galbana,100,16,18,18,Limited,1L-Flask,N:P.63,GrRt.0.2,mod-Provasoli,prop,43,26,31,6,0,7,8,0,0,0,8
316,Bi2014,Jphyc,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysis,galbana,100,16,18,18,Limited,1L-Flask,N:P.63,GrRt.0.4,mod-Provasoli,prop,40,21,39,7,0,9,8,0,0,1,11
317,Bi2014,Jphyc,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysis,galbana,100,16,18,18,Limited,1L-Flask,N:P.63,GrRt.0.6,mod-Provasoli,prop,39,21,40,6,0,11,8,0,0,1,11
318,Bi2014,Jphyc,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysis,galbana,100,16,18,18,Limited,1L-Flask,N:P.63,GrRt.0.8,mod-Provasoli,prop,48,18,34,6,0,6,8,0,0,1,9
319,Bi2014,Jphyc,Ochrophyta,Bacillariophyceae,Naviculales,Phaeodactylum,tricornutum,100,16,18,18,Limited,1L-Flask,N:P.10,GrRt.0.2,mod-Provasoli,prop,29,37,34,2,1,0,1,0,0,21,3
320,Bi2014,Jphyc,Ochrophyta,Bacillariophyceae,Naviculales,Phaeodactylum,tricornutum,100,16,18,18,Limited,1L-Flask,N:P.10,GrRt.0.4,mod-Provasoli,prop,25,30,45,2,1,0,2,0,0,27,2
321,Bi2014,Jphyc,Ochrophyta,Bacillariophyceae,Naviculales,Phaeodactylum,tricornutum,100,16,18,18,Limited,1L-Flask,N:P.10,GrRt.0.6,mod-Provasoli,prop,20,22,58,2,1,0,1,0,1,35,2
322,Bi2014,Jphyc,Ochrophyta,Bacillariophyceae,Naviculales,Phaeodactylum,tricornutum,100,16,18,18,Limited,1L-Flask,N:P.10,GrRt.0.8,mod-Provasoli,prop,21,17,62,1,1,1,1,0,0,35,2
323,Bi2014,Jphyc,Ochrophyta,Bacillariophyceae,Naviculales,Phaeodactylum,tricornutum,100,16,18,18,Limited,1L-Flask,N:P.14,GrRt.0.2,mod-Provasoli,prop,24,31,45,2,0,1,1,0,0,27,2
324,Bi2014,Jphyc,Ochrophyta,Bacillariophyceae,Naviculales,Phaeodactylum,tricornutum,100,16,18,18,Limited,1L-Flask,N:P.14,GrRt.0.4,mod-Provasoli,prop,25,23,52,2,0,1,1,0,1,31,2
325,Bi2014,Jphyc,Ochrophyta,Bacillariophyceae,Naviculales,Phaeodactylum,tricornutum,100,16,18,18,Limited,1L-Flask,N:P.14,GrRt.0.6,mod-Provasoli,prop,21,20,60,2,1,1,1,0,1,32,2
326,Bi2014,Jphyc,Ochrophyta,Bacillariophyceae,Naviculales,Phaeodactylum,tricornutum,100,16,18,18,Limited,1L-Flask,N:P.14,GrRt.0.8,mod-Provasoli,prop,19,23,58,3,0,2,1,0,0,33,2
327,Bi2014,Jphyc,Ochrophyta,Bacillariophyceae,Naviculales,Phaeodactylum,tricornutum,100,16,18,18,Limited,1L-Flask,N:P.24,GrRt.0.2,mod-Provasoli,prop,25,29,45,2,1,0,1,0,1,27,3
328,Bi2014,Jphyc,Ochrophyta,Bacillariophyceae,Naviculales,Phaeodactylum,tricornutum,100,16,18,18,Limited,1L-Flask,N:P.24,GrRt.0.4,mod-Provasoli,prop,19,19,63,2,1,0,1,0,1,37,2
329,Bi2014,Jphyc,Ochrophyta,Bacillariophyceae,Naviculales,Phaeodactylum,tricornutum,100,16,18,18,Limited,1L-Flask,N:P.24,GrRt.0.6,mod-Provasoli,prop,19,17,64,2,1,0,2,0,1,38,3
330,Bi2014,Jphyc,Ochrophyta,Bacillariophyceae,Naviculales,Phaeodactylum,tricornutum,100,16,18,18,Limited,1L-Flask,N:P.24,GrRt.0.8,mod-Provasoli,prop,25,20,55,1,0,1,1,0,0,34,2
331,Bi2014,Jphyc,Ochrophyta,Bacillariophyceae,Naviculales,Phaeodactylum,tricornutum,100,16,18,18,Limited,1L-Flask,N:P.35,GrRt.0.2,mod-Provasoli,prop,26,26,49,2,0,1,1,0,0,28,2
332,Bi2014,Jphyc,Ochrophyta,Bacillariophyceae,Naviculales,Phaeodactylum,tricornutum,100,16,18,18,Limited,1L-Flask,N:P.35,GrRt.0.4,mod-Provasoli,prop,24,22,54,2,1,1,1,0,1,33,2
333,Bi2014,Jphyc,Ochrophyta,Bacillariophyceae,Naviculales,Phaeodactylum,tricornutum,100,16,18,18,Limited,1L-Flask,N:P.35,GrRt.0.6,mod-Provasoli,prop,27,21,53,1,1,0,1,0,1,31,2
334,Bi2014,Jphyc,Ochrophyta,Bacillariophyceae,Naviculales,Phaeodactylum,tricornutum,100,16,18,18,Limited,1L-Flask,N:P.35,GrRt.0.8,mod-Provasoli,prop,25,22,53,2,1,1,1,0,0,31,2
335,Bi2014,Jphyc,Ochrophyta,Bacillariophyceae,Naviculales,Phaeodactylum,tricornutum,100,16,18,18,Limited,1L-Flask,N:P.63,GrRt.0.2,mod-Provasoli,prop,27,31,42,2,1,0,4,0,0,23,1
336,Bi2014,Jphyc,Ochrophyta,Bacillariophyceae,Naviculales,Phaeodactylum,tricornutum,100,16,18,18,Limited,1L-Flask,N:P.63,GrRt.0.4,mod-Provasoli,prop,22,19,58,2,1,0,2,0,1,34,2
337,Bi2014,Jphyc,Ochrophyta,Bacillariophyceae,Naviculales,Phaeodactylum,tricornutum,100,16,18,18,Limited,1L-Flask,N:P.63,GrRt.0.6,mod-Provasoli,prop,20,18,63,2,1,0,2,0,1,37,3
338,Bi2014,Jphyc,Ochrophyta,Bacillariophyceae,Naviculales,Phaeodactylum,tricornutum,100,16,18,18,Limited,1L-Flask,N:P.63,GrRt.0.8,mod-Provasoli,prop,23,16,55,2,1,2,1,0,1,33,2
339,Broglio2003,AME,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,salina,100,16,17.5,32,Replete,NA,,,L/1 or F/2,prop,26.5,10.8,61.1,1.4,1.1,14.7,26.9,0,0,8.4,3.8
340,Broglio2003,AME,Ochrophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosira,pseudonana,100,16,17.5,32,Replete,NA,,,L/1 or F/2,prop,55.2,21.7,23.1,1.1,0,0,0,0,0,19,3.1
341,Broglio2003,AME,Dinophyta,Dinophyceae,Dinotrichales,Gymnodinium,sanguineum,100,16,17.5,32,Replete,NA,,,L/1 or F/2,prop,51.91396281,20.01458257,28.07145461,1.749908859,0,0,0,0,0,12.8691214,13.30659861
342,Chen2011,L&O,Ochrophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosira,oceanica,120,14,17,34,Limited,NA,Low Fe,,mod-f/2,prop,28.5,13.9,57.6,7,0.4,4.4,10.5,0,0.1,25.5,9.4
343,Chen2011,L&O,Ochrophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosira,oceanica,120,14,17,34,Replete,NA,High Fe,,mod-f/2,prop,32.4,18,49.6,0.6,0.4,0.4,16.6,0,0.1,26.2,4.3
344,Chen2011,L&O,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,salina,120,14,17,34,Limited,NA,Low Fe,,mod-f/2,prop,23.6,15.4,61,3.5,1.3,6.6,22.3,0,0.3,13,13.7
345,Chen2011,L&O,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,salina,120,14,17,34,Replete,NA,High Fe,,mod-f/2,prop,20.6,10.6,68.9,4.2,1.3,12.5,25.7,0,0.6,14.4,9.3
346,Chen2011,L&O,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysis,galbana,120,14,17,34,Limited,NA,Low Fe,,mod-f/2,prop,36.8,27.7,35.5,8.9,1.1,1.6,5.4,0.5,0,7.8,9.8
347,Chen2011,L&O,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysis,galbana,120,14,17,34,Replete,NA,High Fe,,mod-f/2,prop,33.6,20.8,45.6,7.4,0.8,4.2,8,3.2,0,4.7,15.5
348,Patil2007,AquaInt,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcus,sp,51,24,20,25,Replete,1.8L-Flask,,,mod-Z8,prop,64,4.266666667,31.73333333,28.53333333,0,2.666666667,0,0,0.266666667,0,0
349,Patil2007,AquaInt,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcus,sp,51,24,20,25,Replete,1.8L-Flask,,,mod-Z8,prop,47.31707317,52.68292683,0,0,0,0,0,0,0,0,0
350,Patil2007,AquaInt,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysis,galbana,51,24,20,25,Replete,1.8L-Flask,,,mod-Z8,prop,26.39068564,21.99223803,51.61707633,9.055627426,0,4.915912031,16.17076326,0,0,1.034928849,20.43984476
351,Patil2007,AquaInt,Haptophyta,Pavlovophyceae,Pavlovales,Pavlova,sp,51,24,20,25,Replete,1.8L-Flask,,,mod-Z8,prop,27.44845361,21.2628866,51.28865979,2.706185567,0,2.319587629,5.541237113,0,0.515463918,23.19587629,17.01030928
352,Patil2007,AquaInt,Ochrophyta,Bacillariophyceae,Naviculales,Phaeodactylum,tricornutum,51,24,20,25,Replete,1.8L-Flask,,,mod-Z8,prop,29.70936491,30.24757804,40.04305705,1.614639397,0,0.322927879,3.552206674,0,2.368137783,30.57050592,0.215285253
353,Patil2007,AquaInt,Rhodophyta,Porphyridiophyceae,Porphyridiales,Porphyridium,cruentum,51,24,20,25,Replete,1.8L-Flask,,,mod-Z8,prop,29.46859903,0.483091787,70.04830918,10.14492754,0,0,0,0,28.98550725,29.46859903,0
354,Patil2007,AquaInt,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,baltica,51,24,20,25,Replete,1.8L-Flask,,,mod-Z8,prop,31.0786106,7.31261426,61.60877514,21.38939671,0,21.93784278,9.323583181,0,0.365630713,8.043875686,0
355,Patil2007,AquaInt,Chlorophyta,Trebouxiophyceae,Chlorellales,Oocystis,sp,51,24,20,0,Replete,1.8L-Flask,,,mod-Z8,prop,15.58935361,20.53231939,63.878327,24.33460076,0,30.79847909,2.661596958,0,1.901140684,4.182509506,0
356,Patil2007,AquaInt,Chlorophyta,Chlorophyceae,Sphaeropleales,Pseudokirchneriella,subcapitata,51,24,20,0,Replete,1.8L-Flask,,,mod-Z8,prop,25,45.67567568,29.32432432,6.891891892,0,15.40540541,4.054054054,0,0,0,0.135135135
357,Patil2007,AquaInt,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Tetraselmis,suecica,51,24,20,25,Replete,1.8L-Flask,,,mod-Z8,prop,20.25316456,32.65822785,47.08860759,6.329113924,0,16.20253165,10.37974684,0,1.518987342,12.15189873,0.506329114
358,Patil2007,AquaInt,Ochrophyta,Xanthophyceae,Tribonematales,Tribonema,sp,51,24,20,0,Replete,1.8L-Flask,,,mod-Z8,prop,29.6,42.4,28,1.6,0,0,0.8,0,0,25.6,0
359,Patil2007,AquaInt,Ochrophyta,Eustigmatophyceae,Eustigmatales,Nannochloropsis,oceanica,51,24,20,25,Replete,1.8L-Flask,,,mod-Z8,prop,37.97338792,23.33674514,38.68986694,9.928352098,0,0.511770727,0,0,3.787103378,23.95087001,0
360,Parrish2012,JPlankRes,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Tetraselmis,sp,NA,24,24.5,34.5,Replete,4L-FlaskOR10L-carboys,,,f/2-minusSi,prop,25.1,17.7,57.2,8.1,0.4,18.2,8.7,0,0,4.6,0.1
361,Parrish2012,JPlankRes,Chlorophyta,Chlorophyceae,Chlamydomonadales,Dunaliella,tertiolecta,NA,24,24.5,34.5,Replete,4L-FlaskOR10L-carboys,,,f/2-minusSi,prop,23.5,11.6,64.8,3.2,2.9,39.1,1.5,0,0,0,0
362,Parrish2012,JPlankRes,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysis,galbana,NA,24,24.5,34.5,Replete,4L-FlaskOR10L-carboys,,,f/2-minusSi,prop,28.3,18.8,52.9,11.6,2.2,7,18.3,0,0,0.66,9.2
363,Parrish2012,JPlankRes,Ochrophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosira,pseudonana,NA,24,24.5,34.5,Replete,4L-FlaskOR10L-carboys,,,f/2,prop,34.6,33.1,32.3,0,0,0,2.11,0,0,14.2,2.83
364,Parrish2012,JPlankRes,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,lens,NA,24,24.5,34.5,Replete,4L-FlaskOR10L-carboys,,,f/2-minusSi,prop,22.2,12.3,65.5,3.2,0.4,17.9,18.2,0,0,11.9,7.4
365,Parrish2012,JPlankRes,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,sp,NA,24,24.5,34.5,Replete,4L-FlaskOR10L-carboys,,,f/2-minusSi,prop,27,17.3,55.7,8.6,0.91,20,7.6,0,0,6.07,5.2
366,George2008,Aquaculture,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysis,galbana,NA,24,19.5,32,Replete,0.5-1-L-Flask,,,f/2,prop,28.9,26.9,44,3.5,0,6.2,24.6,0,0.5,1.1,6.9
